rooms,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities,area_numeric,price_numeric
5.5,15,1,90,1,60,1,11,1,28,1,4,1,0,0,2,1,0,0,2,1,2,1,1,1,8,1,0,0,1,1,224,150.0,3250
5.5,0,0,2,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,0,5,1,16,150.0,3250
5.5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,150.0,3250
5.5,13,1,42,1,6,1,0,0,3,1,1,1,1,1,3,1,0,0,0,0,2,1,4,1,0,0,0,0,2,1,77,150.0,3250
5.5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,7,150.0,3250
5.5,4,1,16,1,3,1,2,1,11,1,0,0,1,1,2,1,0,0,0,0,3,1,2,1,3,1,0,0,15,1,62,150.0,3250
5.5,2,1,13,1,0,0,2,1,2,1,1,1,0,0,0,0,0,0,1,1,1,1,2,1,1,1,0,0,3,1,28,150.0,3250
5.5,3,1,10,1,0,0,1,1,2,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,12,1,33,150.0,3250
5.5,2,1,14,1,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,0,2,1,26,150.0,3250
5.5,3,1,7,1,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,2,1,1,1,2,1,0,0,3,1,23,150.0,3250
5.5,5,1,27,1,3,1,0,0,3,1,2,1,0,0,2,1,0,0,0,0,4,1,0,0,1,1,0,0,1,1,48,150.0,3250
5.5,1,1,13,1,1,1,1,1,2,1,0,0,0,0,1,1,0,0,0,0,2,1,6,1,0,0,0,0,4,1,31,150.0,5950
5.5,1,1,13,1,1,1,1,1,2,1,0,0,0,0,1,1,0,0,0,0,2,1,6,1,0,0,0,0,4,1,31,150.0,5950
5.5,1,1,13,1,1,1,1,1,2,1,0,0,0,0,1,1,0,0,0,0,2,1,6,1,0,0,0,0,4,1,31,150.0,5950
5.5,1,1,13,1,1,1,1,1,2,1,0,0,0,0,1,1,0,0,0,0,2,1,6,1,0,0,0,0,4,1,31,150.0,5950
5.5,1,1,13,1,1,1,1,1,2,1,0,0,0,0,1,1,0,0,0,0,2,1,6,1,0,0,0,0,4,1,31,150.0,5950
5.5,1,1,13,1,1,1,1,1,2,1,0,0,0,0,1,1,0,0,0,0,2,1,6,1,0,0,0,0,4,1,31,150.0,5950
5.5,26,1,64,1,9,1,4,1,15,1,0,0,0,0,0,0,0,0,1,1,8,1,6,1,14,1,0,0,4,1,151,150.0,5950
5.5,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,7,150.0,5950
5.5,0,0,8,1,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,2,1,2,1,1,1,0,0,7,1,24,150.0,5950
5.5,0,0,5,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,2,1,1,1,0,0,0,0,12,150.0,5950
5.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,3,1,7,150.0,5950
