address,price,lat,lon,property_id,rooms,area,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities
"Rotwandstrasse 66, 8004 Zürich",3710,47.3758876,8.5294158,4001915132,8.5,300.0,42,1,190,1,95,1,21,1,64,1,5,1,0,0,4,1,0,0,3,1,12,1,3,1,13,1,0,0,17,1,469
"Seengerstrasse 28, 5706 Boniswil",3710,47.31804,8.1878031,4001910718,8.5,300.0,2,1,7,1,1,1,1,1,0,0,4,1,0,0,3,1,0,0,0,0,1,1,3,1,1,1,0,0,7,1,30
"Rotbuchstrasse 9, 8006 Zürich",3710,47.3908252,8.537652620686456,4001886542,8.5,300.0,20,1,53,1,4,1,1,1,20,1,9,1,0,0,2,1,0,0,0,0,8,1,2,1,6,1,0,0,5,1,130
"Dorfgasse 4, 8708 Männedorf",3710,47.2552406,8.688731842874493,4001867060,8.5,300.0,8,1,16,1,2,1,0,0,3,1,2,1,0,0,2,1,1,1,0,0,3,1,3,1,4,1,0,0,8,1,52
"Hottingerstrasse 38, 8032 Zürich",3710,47.36939095,8.553576490910046,4002081565,8.5,300.0,34,1,73,1,12,1,2,1,23,1,9,1,1,1,13,1,0,0,3,1,12,1,10,1,14,1,0,0,10,1,216
"Holzwiesstrasse 19, 8704 Herrliberg",3710,47.2948936,8.606714348304603,4002078292,8.5,300.0,1,1,5,1,1,1,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,3,1,14
"Kammermattweg 3, 4107 Ettingen",3710,47.4845896,7.5460237,4002077167,8.5,300.0,1,1,9,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,3,1,3,1,3,1,0,0,2,1,23
"Mostelbergstrasse 3B, 6417 Sattel",3710,47.0765973,8.6326847,4002075406,8.5,300.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,4
"Chemin du Devin 47B, 1012 Lausanne",3710,46.5316201,6.6519271,4002071005,8.5,300.0,2,1,14,1,0,0,0,0,3,1,1,1,0,0,1,1,0,0,0,0,6,1,2,1,1,1,0,0,9,1,39
"Rütistrasse 4, 8032 Zürich",3710,47.3685518,8.56076049670398,4002069592,8.5,300.0,13,1,31,1,2,1,1,1,5,1,6,1,0,0,5,1,0,0,1,1,9,1,4,1,5,1,0,0,7,1,89
